setting,target,control,predictor,rho,p,ci_lo,ci_hi,n,k_controls,controls,n_boot,n_boot_valid,p_holm,q_bh
gemma_2_2b,collateral_ctilde,effect_only,logit_entropy,0.11677385347378337,0.043626823813606316,0.0012661105738041099,0.22875243725982433,300,1,effect_l2,10000,10000,0.2181341190680316,0.05526064349723467
gemma_2_2b,collateral_ctilde,effect_only,logit_top10_mass,-0.1753544989142025,0.0023417396321372967,-0.2818903534719071,-0.06211734897673811,300,1,effect_l2,10000,10000,0.016392177424961078,0.0034225425392775876
gemma_2_2b,kl_mean,none,crowding,0.4873054145046056,2.68355067668701e-19,0.38936500153800907,0.5728094474846507,300,0,,10000,10000,4.830391218036618e-18,2.5493731428526594e-18
gemma_2_2b,kl_mean,none,crowd_max,0.30665455245664613,5.946987367311525e-08,0.18953085892129107,0.4160836628664243,300,0,,10000,10000,8.325782314236135e-07,1.8832126663153161e-07
gemma_2_2b,kl_mean,none,dec_norm,-0.06380885204308286,0.27058735695194336,-0.1805815066742305,0.054539711338395885,300,0,,10000,10000,1.0,0.3427439854724616
gemma_2_2b,kl_mean,none,enc_norm,0.5144803831153679,1.130473361970904e-21,0.4170507158120068,0.5988722161800833,300,0,,10000,10000,2.1478993877447175e-20,2.1478993877447175e-20
gemma_2_2b,kl_mean,none,enc_dec_cos,-0.43097861431556334,5.33800432194833e-15,-0.5276054114133165,-0.32336361608943454,300,0,,10000,10000,9.074607347312161e-14,3.380736070567276e-14
gemma_2_2b,kl_mean,none,frequency,0.07406816257635315,0.20079128609700503,-0.046583305836991024,0.19305053009537598,300,0,,10000,10000,1.0,0.27250245970307824
gemma_2_2b,kl_mean,none,bin_entropy,0.07406816257635315,0.20079128609700503,-0.046583305836991024,0.19305053009537598,300,0,,10000,10000,1.0,0.27250245970307824
gemma_2_2b,kl_mean,none,act_entropy,0.05849842776030846,0.312563487279732,-0.060991408162302134,0.1781314377734926,300,0,,10000,10000,1.0,0.37116914114468175
gemma_2_2b,kl_mean,none,act_kurtosis,-0.003692485472060798,0.9492179059882804,-0.1212437060721116,0.11573444521533588,300,0,,10000,10000,1.0,0.9492179059882805
gemma_2_2b,kl_mean,none,act_mag,0.2241220458005089,9.016936296045027e-05,0.10557800536957053,0.33777743135490496,300,0,,10000,10000,0.0008115242666440524,0.00015574708147714138
gemma_2_2b,kl_mean,none,act_mean_firing,0.36980855342837143,3.7283039233876745e-11,0.2589257492537787,0.4731431963025995,300,0,,10000,10000,5.965286277420279e-10,1.7709443636091455e-10
